REF_DATE,DGUID,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE,GEO_Alberta,GEO_British Columbia,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,Education_group
2016,2016A000248,Total non-profit institutions excluding governments,High school diploma and less,Average annual wages and salaries,Dollars,units,29643.0,True,False,False,False,False,1
2016,2016A000248,Total non-profit institutions excluding governments,Trade certificate,Average annual wages and salaries,Dollars,units,50572.0,True,False,False,False,False,2
2016,2016A000248,Total non-profit institutions excluding governments,University degree and higher,Average annual wages and salaries,Dollars,units,51084.0,True,False,False,False,False,3
2016,2016A000248,Non-profit institutions serving households (community organizations),High school diploma and less,Average annual wages and salaries,Dollars,units,26832.0,True,False,False,False,False,1
2016,2016A000248,Non-profit institutions serving households (community organizations),Trade certificate,Average annual wages and salaries,Dollars,units,44972.0,True,False,False,False,False,2
2016,2016A000248,Non-profit institutions serving households (community organizations),University degree and higher,Average annual wages and salaries,Dollars,units,47866.0,True,False,False,False,False,3
2016,2016A000248,Business non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,35866.0,True,False,False,False,False,1
2016,2016A000248,Business non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,62484.0,True,False,False,False,False,2
2016,2016A000248,Business non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,62577.0,True,False,False,False,False,3
2016,2016A000248,Government non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,33371.0,True,False,False,False,False,1
2016,2016A000248,Government non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,48240.0,True,False,False,False,False,2
2016,2016A000248,Government non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,64486.0,True,False,False,False,False,3
2017,2016A000248,Total non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,32279.0,True,False,False,False,False,1
2017,2016A000248,Total non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,49503.0,True,False,False,False,False,2
2017,2016A000248,Total non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,61987.0,True,False,False,False,False,3
2017,2016A000248,Total non-profit institutions excluding governments,High school diploma and less,Average annual wages and salaries,Dollars,units,30127.0,True,False,False,False,False,1
2017,2016A000248,Total non-profit institutions excluding governments,Trade certificate,Average annual wages and salaries,Dollars,units,50474.0,True,False,False,False,False,2
2017,2016A000248,Total non-profit institutions excluding governments,University degree and higher,Average annual wages and salaries,Dollars,units,51307.0,True,False,False,False,False,3
2017,2016A000248,Non-profit institutions serving households (community organizations),High school diploma and less,Average annual wages and salaries,Dollars,units,27200.0,True,False,False,False,False,1
2017,2016A000248,Non-profit institutions serving households (community organizations),Trade certificate,Average annual wages and salaries,Dollars,units,44927.0,True,False,False,False,False,2
2017,2016A000248,Non-profit institutions serving households (community organizations),University degree and higher,Average annual wages and salaries,Dollars,units,48454.0,True,False,False,False,False,3
2017,2016A000248,Business non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,37169.0,True,False,False,False,False,1
2017,2016A000248,Business non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,62854.0,True,False,False,False,False,2
2017,2016A000248,Business non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,62078.0,True,False,False,False,False,3
2017,2016A000248,Government non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,33890.0,True,False,False,False,False,1
2017,2016A000248,Government non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,48987.0,True,False,False,False,False,2
2017,2016A000248,Government non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,65596.0,True,False,False,False,False,3
2018,2016A000248,Total non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,32820.0,True,False,False,False,False,1
2018,2016A000248,Total non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,49428.0,True,False,False,False,False,2
2018,2016A000248,Total non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,62274.0,True,False,False,False,False,3
2018,2016A000248,Total non-profit institutions excluding governments,High school diploma and less,Average annual wages and salaries,Dollars,units,30722.0,True,False,False,False,False,1
2018,2016A000248,Total non-profit institutions excluding governments,Trade certificate,Average annual wages and salaries,Dollars,units,50109.0,True,False,False,False,False,2
2018,2016A000248,Total non-profit institutions excluding governments,University degree and higher,Average annual wages and salaries,Dollars,units,51005.0,True,False,False,False,False,3
2018,2016A000248,Non-profit institutions serving households (community organizations),High school diploma and less,Average annual wages and salaries,Dollars,units,28114.0,True,False,False,False,False,1
