REF_DATE,DGUID,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE,GEO_Alberta,GEO_British Columbia,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,Immigrant_status
2017,2016A000248,Total non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,52172.0,True,False,False,False,False,1
2017,2016A000248,Total non-profit institutions excluding governments,Immigrant employees,Average annual wages and salaries,Dollars,units,40377.0,True,False,False,False,False,0
2017,2016A000248,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual wages and salaries,Dollars,units,43250.0,True,False,False,False,False,1
2017,2016A000248,Non-profit institutions serving households (community organizations),Immigrant employees,Average annual wages and salaries,Dollars,units,38266.0,True,False,False,False,False,0
2017,2016A000248,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average annual wages and salaries,Dollars,units,40301.0,True,False,False,False,False,1
2017,2016A000248,Business non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,47405.0,True,False,False,False,False,0
2017,2016A000248,Business non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,51904.0,True,False,False,False,False,1
2017,2016A000248,Government non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,53391.0,True,False,False,False,False,0
2017,2016A000248,Government non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,56370.0,True,False,False,False,False,1
2018,2016A000248,Total non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,50458.0,True,False,False,False,False,0
2018,2016A000248,Total non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,52811.0,True,False,False,False,False,1
2018,2016A000248,Total non-profit institutions excluding governments,Immigrant employees,Average annual wages and salaries,Dollars,units,40074.0,True,False,False,False,False,0
2018,2016A000248,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual wages and salaries,Dollars,units,43761.0,True,False,False,False,False,1
2018,2016A000248,Non-profit institutions serving households (community organizations),Immigrant employees,Average annual wages and salaries,Dollars,units,37943.0,True,False,False,False,False,0
2018,2016A000248,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average annual wages and salaries,Dollars,units,40984.0,True,False,False,False,False,1
2018,2016A000248,Business non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,47260.0,True,False,False,False,False,0
2018,2016A000248,Business non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,51852.0,True,False,False,False,False,1
2018,2016A000248,Government non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,53908.0,True,False,False,False,False,0
2018,2016A000248,Government non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,57089.0,True,False,False,False,False,1
2013,2016A000259,Total non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,45461.0,False,True,False,False,False,0
2013,2016A000259,Total non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,43669.0,False,True,False,False,False,1
2013,2016A000259,Total non-profit institutions excluding governments,Immigrant employees,Average annual wages and salaries,Dollars,units,35028.0,False,True,False,False,False,0
2013,2016A000259,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual wages and salaries,Dollars,units,36368.0,False,True,False,False,False,1
2013,2016A000259,Non-profit institutions serving households (community organizations),Immigrant employees,Average annual wages and salaries,Dollars,units,33134.0,False,True,False,False,False,0
2013,2016A000259,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average annual wages and salaries,Dollars,units,34946.0,False,True,False,False,False,1
2013,2016A000259,Business non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,40503.0,False,True,False,False,False,0
2013,2016A000259,Business non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,40454.0,False,True,False,False,False,1
2013,2016A000259,Government non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,50322.0,False,True,False,False,False,0
2013,2016A000259,Government non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,47955.0,False,True,False,False,False,1
2014,2016A000259,Total non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,46179.0,False,True,False,False,False,0
2014,2016A000259,Total non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,44445.0,False,True,False,False,False,1
2014,2016A000259,Total non-profit institutions excluding governments,Immigrant employees,Average annual wages and salaries,Dollars,units,35521.0,False,True,False,False,False,0
2014,2016A000259,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual wages and salaries,Dollars,units,36921.0,False,True,False,False,False,1
2014,2016A000259,Non-profit institutions serving households (community organizations),Immigrant employees,Average annual wages and salaries,Dollars,units,33640.0,False,True,False,False,False,0
2014,2016A000259,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average annual wages and salaries,Dollars,units,35510.0,False,True,False,False,False,1
2014,2016A000259,Business non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,40935.0,False,True,False,False,False,0
2014,2016A000259,Business non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,40910.0,False,True,False,False,False,1
2014,2016A000259,Government non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,51126.0,False,True,False,False,False,0
2014,2016A000259,Government non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,48877.0,False,True,False,False,False,1
2015,2016A000259,Total non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,46497.0,False,True,False,False,False,0
2015,2016A000259,Total non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,45020.0,False,True,False,False,False,1
2015,2016A000259,Total non-profit institutions excluding governments,Immigrant employees,Average annual wages and salaries,Dollars,units,36082.0,False,True,False,False,False,0
2015,2016A000259,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual wages and salaries,Dollars,units,37686.0,False,True,False,False,False,1
2015,2016A000259,Non-profit institutions serving households (community organizations),Immigrant employees,Average annual wages and salaries,Dollars,units,33874.0,False,True,False,False,False,0
2015,2016A000259,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average annual wages and salaries,Dollars,units,35928.0,False,True,False,False,False,1
2015,2016A000259,Business non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,42027.0,False,True,False,False,False,0
2015,2016A000259,Business non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,42340.0,False,True,False,False,False,1
2015,2016A000259,Government non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,51582.0,False,True,False,False,False,0
2015,2016A000259,Government non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,49540.0,False,True,False,False,False,1
2016,2016A000259,Total non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,46938.0,False,True,False,False,False,0
2016,2016A000259,Total non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,45351.0,False,True,False,False,False,1
2016,2016A000259,Total non-profit institutions excluding governments,Immigrant employees,Average annual wages and salaries,Dollars,units,36781.0,False,True,False,False,False,0
2016,2016A000259,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual wages and salaries,Dollars,units,38074.0,False,True,False,False,False,1
2016,2016A000259,Non-profit institutions serving households (community organizations),Immigrant employees,Average annual wages and salaries,Dollars,units,34768.0,False,True,False,False,False,0
2016,2016A000259,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average annual wages and salaries,Dollars,units,36201.0,False,True,False,False,False,1
2016,2016A000259,Business non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,42151.0,False,True,False,False,False,0
2016,2016A000259,Business non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,43133.0,False,True,False,False,False,1
2016,2016A000259,Government non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,51987.0,False,True,False,False,False,0
2016,2016A000259,Government non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,49912.0,False,True,False,False,False,1
2017,2016A000259,Total non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,47885.0,False,True,False,False,False,0
2017,2016A000259,Total non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,46529.0,False,True,False,False,False,1
2017,2016A000259,Total non-profit institutions excluding governments,Immigrant employees,Average annual wages and salaries,Dollars,units,37802.0,False,True,False,False,False,0
2017,2016A000259,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual wages and salaries,Dollars,units,39313.0,False,True,False,False,False,1
2017,2016A000259,Non-profit institutions serving households (community organizations),Immigrant employees,Average annual wages and salaries,Dollars,units,35717.0,False,True,False,False,False,0
2017,2016A000259,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average annual wages and salaries,Dollars,units,37162.0,False,True,False,False,False,1
2017,2016A000259,Business non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,43361.0,False,True,False,False,False,0
2017,2016A000259,Business non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,45305.0,False,True,False,False,False,1
2017,2016A000259,Government non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,53032.0,False,True,False,False,False,0
2017,2016A000259,Government non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,51116.0,False,True,False,False,False,1
2018,2016A000259,Total non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,48915.0,False,True,False,False,False,0
2018,2016A000259,Total non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,47848.0,False,True,False,False,False,1
2018,2016A000259,Total non-profit institutions excluding governments,Immigrant employees,Average annual wages and salaries,Dollars,units,39080.0,False,True,False,False,False,0
2018,2016A000259,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual wages and salaries,Dollars,units,40924.0,False,True,False,False,False,1
2018,2016A000259,Non-profit institutions serving households (community organizations),Immigrant employees,Average annual wages and salaries,Dollars,units,36898.0,False,True,False,False,False,0
2018,2016A000259,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average annual wages and salaries,Dollars,units,38667.0,False,True,False,False,False,1
2018,2016A000259,Business non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,44928.0,False,True,False,False,False,0
2018,2016A000259,Business non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,47208.0,False,True,False,False,False,1
2018,2016A000259,Government non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,53829.0,False,True,False,False,False,0
2018,2016A000259,Government non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,52165.0,False,True,False,False,False,1
2013,2016A000212,Total non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,49362.0,False,False,True,False,False,0
2013,2016A000212,Total non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,41733.0,False,False,True,False,False,1
2013,2016A000212,Total non-profit institutions excluding governments,Immigrant employees,Average annual wages and salaries,Dollars,units,30099.0,False,False,True,False,False,0
2013,2016A000212,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual wages and salaries,Dollars,units,30994.0,False,False,True,False,False,1
2013,2016A000212,Non-profit institutions serving households (community organizations),Immigrant employees,Average annual wages and salaries,Dollars,units,29261.0,False,False,True,False,False,0
2013,2016A000212,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average annual wages and salaries,Dollars,units,29871.0,False,False,True,False,False,1
2013,2016A000212,Business non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,33941.0,False,False,True,False,False,0
2013,2016A000212,Business non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,35717.0,False,False,True,False,False,1
2013,2016A000212,Government non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,54275.0,False,False,True,False,False,0
2013,2016A000212,Government non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,45879.0,False,False,True,False,False,1
2014,2016A000212,Total non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,49324.0,False,False,True,False,False,0
2014,2016A000212,Total non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,42196.0,False,False,True,False,False,1
2014,2016A000212,Total non-profit institutions excluding governments,Immigrant employees,Average annual wages and salaries,Dollars,units,30639.0,False,False,True,False,False,0
