REF_DATE,DGUID,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE,GEO_Alberta,GEO_British Columbia,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,Immigrant_status
2015,2016A000235,Business non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,48332.0,False,False,False,True,False,1
2015,2016A000235,Government non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,56285.0,False,False,False,True,False,0
2015,2016A000235,Government non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,54603.0,False,False,False,True,False,1
2016,2016A000235,Total non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,50375.0,False,False,False,True,False,0
2016,2016A000235,Total non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,49277.0,False,False,False,True,False,1
2016,2016A000235,Total non-profit institutions excluding governments,Immigrant employees,Average annual wages and salaries,Dollars,units,40353.0,False,False,False,True,False,0
2016,2016A000235,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual wages and salaries,Dollars,units,41552.0,False,False,False,True,False,1
2016,2016A000235,Non-profit institutions serving households (community organizations),Immigrant employees,Average annual wages and salaries,Dollars,units,37385.0,False,False,False,True,False,0
2016,2016A000235,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average annual wages and salaries,Dollars,units,38975.0,False,False,False,True,False,1
2016,2016A000235,Business non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,48912.0,False,False,False,True,False,0
2016,2016A000235,Business non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,49262.0,False,False,False,True,False,1
2016,2016A000235,Government non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,56367.0,False,False,False,True,False,0
2016,2016A000235,Government non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,54515.0,False,False,False,True,False,1
2017,2016A000235,Total non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,50832.0,False,False,False,True,False,0
2017,2016A000235,Total non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,49782.0,False,False,False,True,False,1
2017,2016A000235,Total non-profit institutions excluding governments,Immigrant employees,Average annual wages and salaries,Dollars,units,41306.0,False,False,False,True,False,0
2017,2016A000235,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual wages and salaries,Dollars,units,42755.0,False,False,False,True,False,1
2017,2016A000235,Non-profit institutions serving households (community organizations),Immigrant employees,Average annual wages and salaries,Dollars,units,38333.0,False,False,False,True,False,0
2017,2016A000235,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average annual wages and salaries,Dollars,units,40003.0,False,False,False,True,False,1
2017,2016A000235,Business non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,49852.0,False,False,False,True,False,0
2017,2016A000235,Business non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,51256.0,False,False,False,True,False,1
2017,2016A000235,Government non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,56606.0,False,False,False,True,False,0
2017,2016A000235,Government non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,54573.0,False,False,False,True,False,1
2018,2016A000235,Total non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,52378.0,False,False,False,True,False,0
2018,2016A000235,Total non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,51373.0,False,False,False,True,False,1
2018,2016A000235,Total non-profit institutions excluding governments,Immigrant employees,Average annual wages and salaries,Dollars,units,42605.0,False,False,False,True,False,0
2018,2016A000235,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual wages and salaries,Dollars,units,44312.0,False,False,False,True,False,1
2018,2016A000235,Non-profit institutions serving households (community organizations),Immigrant employees,Average annual wages and salaries,Dollars,units,39244.0,False,False,False,True,False,0
2018,2016A000235,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average annual wages and salaries,Dollars,units,41236.0,False,False,False,True,False,1
2018,2016A000235,Business non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,52454.0,False,False,False,True,False,0
2018,2016A000235,Business non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,54106.0,False,False,False,True,False,1
2018,2016A000235,Government non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,58379.0,False,False,False,True,False,0
2018,2016A000235,Government non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,56262.0,False,False,False,True,False,1
2013,2016A000224,Total non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,39563.0,False,False,False,False,True,0
2013,2016A000224,Total non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,41105.0,False,False,False,False,True,1
2013,2016A000224,Total non-profit institutions excluding governments,Immigrant employees,Average annual wages and salaries,Dollars,units,29738.0,False,False,False,False,True,0
2013,2016A000224,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual wages and salaries,Dollars,units,33374.0,False,False,False,False,True,1
2013,2016A000224,Non-profit institutions serving households (community organizations),Immigrant employees,Average annual wages and salaries,Dollars,units,28138.0,False,False,False,False,True,0
2013,2016A000224,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average annual wages and salaries,Dollars,units,32202.0,False,False,False,False,True,1
2013,2016A000224,Business non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,35180.0,False,False,False,False,True,0
2013,2016A000224,Business non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,36977.0,False,False,False,False,True,1
2013,2016A000224,Government non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,43649.0,False,False,False,False,True,0
2013,2016A000224,Government non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,44760.0,False,False,False,False,True,1
2014,2016A000224,Total non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,40444.0,False,False,False,False,True,0
2014,2016A000224,Total non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,42129.0,False,False,False,False,True,1
2014,2016A000224,Total non-profit institutions excluding governments,Immigrant employees,Average annual wages and salaries,Dollars,units,30477.0,False,False,False,False,True,0
2014,2016A000224,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual wages and salaries,Dollars,units,34397.0,False,False,False,False,True,1
2014,2016A000224,Non-profit institutions serving households (community organizations),Immigrant employees,Average annual wages and salaries,Dollars,units,28999.0,False,False,False,False,True,0
2014,2016A000224,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average annual wages and salaries,Dollars,units,33261.0,False,False,False,False,True,1
2014,2016A000224,Business non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,35698.0,False,False,False,False,True,0
2014,2016A000224,Business non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,37999.0,False,False,False,False,True,1
2014,2016A000224,Government non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,44567.0,False,False,False,False,True,0
2014,2016A000224,Government non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,45751.0,False,False,False,False,True,1
2015,2016A000224,Total non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,41304.0,False,False,False,False,True,0
2015,2016A000224,Total non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,43020.0,False,False,False,False,True,1
2015,2016A000224,Total non-profit institutions excluding governments,Immigrant employees,Average annual wages and salaries,Dollars,units,30673.0,False,False,False,False,True,0
2015,2016A000224,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual wages and salaries,Dollars,units,34667.0,False,False,False,False,True,1
2015,2016A000224,Non-profit institutions serving households (community organizations),Immigrant employees,Average annual wages and salaries,Dollars,units,29135.0,False,False,False,False,True,0
2015,2016A000224,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average annual wages and salaries,Dollars,units,33367.0,False,False,False,False,True,1
2015,2016A000224,Business non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,35817.0,False,False,False,False,True,0
2015,2016A000224,Business non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,38637.0,False,False,False,False,True,1
2015,2016A000224,Government non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,45806.0,False,False,False,False,True,0
2015,2016A000224,Government non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,47000.0,False,False,False,False,True,1
2016,2016A000224,Total non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,41800.0,False,False,False,False,True,0
2016,2016A000224,Total non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,43550.0,False,False,False,False,True,1
2016,2016A000224,Total non-profit institutions excluding governments,Immigrant employees,Average annual wages and salaries,Dollars,units,30914.0,False,False,False,False,True,0
2016,2016A000224,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual wages and salaries,Dollars,units,35142.0,False,False,False,False,True,1
2016,2016A000224,Non-profit institutions serving households (community organizations),Immigrant employees,Average annual wages and salaries,Dollars,units,29228.0,False,False,False,False,True,0
2016,2016A000224,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average annual wages and salaries,Dollars,units,33636.0,False,False,False,False,True,1
2016,2016A000224,Business non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,36360.0,False,False,False,False,True,0
2016,2016A000224,Business non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,39726.0,False,False,False,False,True,1
2016,2016A000224,Government non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,46496.0,False,False,False,False,True,0
2016,2016A000224,Government non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,47617.0,False,False,False,False,True,1
2017,2016A000224,Total non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,43014.0,False,False,False,False,True,0
2017,2016A000224,Total non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,44812.0,False,False,False,False,True,1
2017,2016A000224,Total non-profit institutions excluding governments,Immigrant employees,Average annual wages and salaries,Dollars,units,31476.0,False,False,False,False,True,0
2017,2016A000224,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual wages and salaries,Dollars,units,35962.0,False,False,False,False,True,1
2017,2016A000224,Non-profit institutions serving households (community organizations),Immigrant employees,Average annual wages and salaries,Dollars,units,29704.0,False,False,False,False,True,0
2017,2016A000224,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average annual wages and salaries,Dollars,units,34216.0,False,False,False,False,True,1
2017,2016A000224,Business non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,36986.0,False,False,False,False,True,0
2017,2016A000224,Business non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,41255.0,False,False,False,False,True,1
2017,2016A000224,Government non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,48149.0,False,False,False,False,True,0
2017,2016A000224,Government non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,49249.0,False,False,False,False,True,1
2018,2016A000224,Total non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,44393.0,False,False,False,False,True,0
2018,2016A000224,Total non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,46216.0,False,False,False,False,True,1
2018,2016A000224,Total non-profit institutions excluding governments,Immigrant employees,Average annual wages and salaries,Dollars,units,32639.0,False,False,False,False,True,0
2018,2016A000224,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual wages and salaries,Dollars,units,37403.0,False,False,False,False,True,1
2018,2016A000224,Non-profit institutions serving households (community organizations),Immigrant employees,Average annual wages and salaries,Dollars,units,30666.0,False,False,False,False,True,0
2018,2016A000224,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average annual wages and salaries,Dollars,units,35478.0,False,False,False,False,True,1
2018,2016A000224,Business non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,38849.0,False,False,False,False,True,0
2018,2016A000224,Business non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,43274.0,False,False,False,False,True,1
2018,2016A000224,Government non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,49583.0,False,False,False,False,True,0
2018,2016A000224,Government non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,50606.0,False,False,False,False,True,1
