REF_DATE,DGUID,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE,GEO_Alberta,GEO_British Columbia,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,Gender_group
2018,2016A000248,Total non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,62182.0,True,False,False,False,False,1
2018,2016A000248,Total non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,48083.0,True,False,False,False,False,0
2018,2016A000248,Total non-profit institutions excluding governments,Male employees,Average annual wages and salaries,Dollars,units,52483.0,True,False,False,False,False,1
2018,2016A000248,Total non-profit institutions excluding governments,Female employees,Average annual wages and salaries,Dollars,units,37406.0,True,False,False,False,False,0
2018,2016A000248,Non-profit institutions serving households (community organizations),Male employees,Average annual wages and salaries,Dollars,units,48682.0,True,False,False,False,False,1
2018,2016A000248,Non-profit institutions serving households (community organizations),Female employees,Average annual wages and salaries,Dollars,units,35922.0,True,False,False,False,False,0
2018,2016A000248,Business non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,61327.0,True,False,False,False,False,1
2018,2016A000248,Business non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,42681.0,True,False,False,False,False,0
2018,2016A000248,Government non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,68068.0,True,False,False,False,False,1
2018,2016A000248,Government non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,51987.0,True,False,False,False,False,0
2013,2016A000259,Total non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,51678.0,False,True,False,False,False,1
2013,2016A000259,Total non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,40902.0,False,True,False,False,False,0
2013,2016A000259,Total non-profit institutions excluding governments,Male employees,Average annual wages and salaries,Dollars,units,43035.0,False,True,False,False,False,1
2013,2016A000259,Total non-profit institutions excluding governments,Female employees,Average annual wages and salaries,Dollars,units,31879.0,False,True,False,False,False,0
2013,2016A000259,Non-profit institutions serving households (community organizations),Male employees,Average annual wages and salaries,Dollars,units,40612.0,False,True,False,False,False,1
2013,2016A000259,Non-profit institutions serving households (community organizations),Female employees,Average annual wages and salaries,Dollars,units,31414.0,False,True,False,False,False,0
2013,2016A000259,Business non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,47754.0,False,True,False,False,False,1
2013,2016A000259,Business non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,33626.0,False,True,False,False,False,0
2013,2016A000259,Government non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,57937.0,False,True,False,False,False,1
2013,2016A000259,Government non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,45215.0,False,True,False,False,False,0
2014,2016A000259,Total non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,52349.0,False,True,False,False,False,1
2014,2016A000259,Total non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,41746.0,False,True,False,False,False,0
2014,2016A000259,Total non-profit institutions excluding governments,Male employees,Average annual wages and salaries,Dollars,units,43724.0,False,True,False,False,False,1
2014,2016A000259,Total non-profit institutions excluding governments,Female employees,Average annual wages and salaries,Dollars,units,32429.0,False,True,False,False,False,0
2014,2016A000259,Non-profit institutions serving households (community organizations),Male employees,Average annual wages and salaries,Dollars,units,41171.0,False,True,False,False,False,1
2014,2016A000259,Non-profit institutions serving households (community organizations),Female employees,Average annual wages and salaries,Dollars,units,32022.0,False,True,False,False,False,0
2014,2016A000259,Business non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,48656.0,False,True,False,False,False,1
2014,2016A000259,Business non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,33922.0,False,True,False,False,False,0
2014,2016A000259,Government non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,58536.0,False,True,False,False,False,1
2014,2016A000259,Government non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,46236.0,False,True,False,False,False,0
2015,2016A000259,Total non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,52911.0,False,True,False,False,False,1
2015,2016A000259,Total non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,42156.0,False,True,False,False,False,0
2015,2016A000259,Total non-profit institutions excluding governments,Male employees,Average annual wages and salaries,Dollars,units,44571.0,False,True,False,False,False,1
2015,2016A000259,Total non-profit institutions excluding governments,Female employees,Average annual wages and salaries,Dollars,units,32924.0,False,True,False,False,False,0
2015,2016A000259,Non-profit institutions serving households (community organizations),Male employees,Average annual wages and salaries,Dollars,units,41547.0,False,True,False,False,False,1
2015,2016A000259,Non-profit institutions serving households (community organizations),Female employees,Average annual wages and salaries,Dollars,units,32268.0,False,True,False,False,False,0
2015,2016A000259,Business non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,50193.0,False,True,False,False,False,1
2015,2016A000259,Business non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,35137.0,False,True,False,False,False,0
2015,2016A000259,Government non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,59282.0,False,True,False,False,False,1
2015,2016A000259,Government non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,46770.0,False,True,False,False,False,0
2016,2016A000259,Total non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,53532.0,False,True,False,False,False,1
2016,2016A000259,Total non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,42429.0,False,True,False,False,False,0
2016,2016A000259,Total non-profit institutions excluding governments,Male employees,Average annual wages and salaries,Dollars,units,45313.0,False,True,False,False,False,1
2016,2016A000259,Total non-profit institutions excluding governments,Female employees,Average annual wages and salaries,Dollars,units,33349.0,False,True,False,False,False,0
2016,2016A000259,Non-profit institutions serving households (community organizations),Male employees,Average annual wages and salaries,Dollars,units,42465.0,False,True,False,False,False,1
2016,2016A000259,Non-profit institutions serving households (community organizations),Female employees,Average annual wages and salaries,Dollars,units,32565.0,False,True,False,False,False,0
2016,2016A000259,Business non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,50653.0,False,True,False,False,False,1
2016,2016A000259,Business non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,36016.0,False,True,False,False,False,0
2016,2016A000259,Government non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,59784.0,False,True,False,False,False,1
2016,2016A000259,Government non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,47094.0,False,True,False,False,False,0
2017,2016A000259,Total non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,54523.0,False,True,False,False,False,1
