REF_DATE,DGUID,GEO,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),Trade certificate,Average annual wages and salaries,Dollars,units,28428.0
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),University degree and higher,Average annual wages and salaries,Dollars,units,38370.0
2013,2016A000212,Nova Scotia,Business non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,24246.0
2013,2016A000212,Nova Scotia,Business non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,39061.0
2013,2016A000212,Nova Scotia,Business non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,45794.0
2013,2016A000212,Nova Scotia,Government non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,25496.0
2013,2016A000212,Nova Scotia,Government non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,36118.0
2013,2016A000212,Nova Scotia,Government non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,59219.0
2013,2016A000213,New Brunswick,Total non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,25571.0
2013,2016A000213,New Brunswick,Total non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,35822.0
2013,2016A000213,New Brunswick,Total non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,62995.0
2013,2016A000213,New Brunswick,Total non-profit institutions excluding governments,High school diploma and less,Average annual wages and salaries,Dollars,units,20171.0
2013,2016A000213,New Brunswick,Total non-profit institutions excluding governments,Trade certificate,Average annual wages and salaries,Dollars,units,28644.0
2013,2016A000213,New Brunswick,Total non-profit institutions excluding governments,University degree and higher,Average annual wages and salaries,Dollars,units,39029.0
2013,2016A000213,New Brunswick,Non-profit institutions serving households (community organizations),High school diploma and less,Average annual wages and salaries,Dollars,units,18390.0
2013,2016A000213,New Brunswick,Non-profit institutions serving households (community organizations),Trade certificate,Average annual wages and salaries,Dollars,units,26744.0
2013,2016A000213,New Brunswick,Non-profit institutions serving households (community organizations),University degree and higher,Average annual wages and salaries,Dollars,units,37740.0
2013,2016A000213,New Brunswick,Business non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,24935.0
2013,2016A000213,New Brunswick,Business non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,34401.0
