REF_DATE,DGUID,GEO,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,45 to 54 years,Average annual wages and salaries,Dollars,units,63394.0
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,55 to 64 years,Average annual wages and salaries,Dollars,units,45269.0
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,65 years old and over,Average annual wages and salaries,Dollars,units,26479.0
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,15 to 24 years,Average annual wages and salaries,Dollars,units,18724.0
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,25 to 34 years,Average annual wages and salaries,Dollars,units,43910.0
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,35 to 44 years,Average annual wages and salaries,Dollars,units,59414.0
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,45 to 54 years,Average annual wages and salaries,Dollars,units,60637.0
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,55 to 64 years,Average annual wages and salaries,Dollars,units,52935.0
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,65 years old and over,Average annual wages and salaries,Dollars,units,38544.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions,15 to 24 years,Average annual wages and salaries,Dollars,units,14317.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions,25 to 34 years,Average annual wages and salaries,Dollars,units,34285.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions,35 to 44 years,Average annual wages and salaries,Dollars,units,44224.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions,45 to 54 years,Average annual wages and salaries,Dollars,units,47020.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions,55 to 64 years,Average annual wages and salaries,Dollars,units,46051.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions,65 years old and over,Average annual wages and salaries,Dollars,units,22068.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,15 to 24 years,Average annual wages and salaries,Dollars,units,9217.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,25 to 34 years,Average annual wages and salaries,Dollars,units,25864.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,35 to 44 years,Average annual wages and salaries,Dollars,units,35316.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,45 to 54 years,Average annual wages and salaries,Dollars,units,33748.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,55 to 64 years,Average annual wages and salaries,Dollars,units,29222.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,65 years old and over,Average annual wages and salaries,Dollars,units,14564.0
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),15 to 24 years,Average annual wages and salaries,Dollars,units,8796.0
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),25 to 34 years,Average annual wages and salaries,Dollars,units,24782.0
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),35 to 44 years,Average annual wages and salaries,Dollars,units,33680.0
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),45 to 54 years,Average annual wages and salaries,Dollars,units,30761.0
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),55 to 64 years,Average annual wages and salaries,Dollars,units,28716.0
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),65 years old and over,Average annual wages and salaries,Dollars,units,14168.0
2013,2016A000211,Prince Edward Island,Business non-profit institutions,15 to 24 years,Average annual wages and salaries,Dollars,units,10189.0
2013,2016A000211,Prince Edward Island,Business non-profit institutions,25 to 34 years,Average annual wages and salaries,Dollars,units,29500.0
2013,2016A000211,Prince Edward Island,Business non-profit institutions,35 to 44 years,Average annual wages and salaries,Dollars,units,40844.0
2013,2016A000211,Prince Edward Island,Business non-profit institutions,45 to 54 years,Average annual wages and salaries,Dollars,units,44255.0
2013,2016A000211,Prince Edward Island,Business non-profit institutions,55 to 64 years,Average annual wages and salaries,Dollars,units,31139.0
2013,2016A000211,Prince Edward Island,Business non-profit institutions,65 years old and over,Average annual wages and salaries,Dollars,units,16208.0
2013,2016A000211,Prince Edward Island,Government non-profit institutions,15 to 24 years,Average annual wages and salaries,Dollars,units,17314.0
2013,2016A000211,Prince Edward Island,Government non-profit institutions,25 to 34 years,Average annual wages and salaries,Dollars,units,36805.0
2013,2016A000211,Prince Edward Island,Government non-profit institutions,35 to 44 years,Average annual wages and salaries,Dollars,units,46698.0
2013,2016A000211,Prince Edward Island,Government non-profit institutions,45 to 54 years,Average annual wages and salaries,Dollars,units,50827.0
2013,2016A000211,Prince Edward Island,Government non-profit institutions,55 to 64 years,Average annual wages and salaries,Dollars,units,51648.0
2013,2016A000211,Prince Edward Island,Government non-profit institutions,65 years old and over,Average annual wages and salaries,Dollars,units,26641.0
2013,2016A000212,Nova Scotia,Total non-profit institutions,15 to 24 years,Average annual wages and salaries,Dollars,units,14453.0
2013,2016A000212,Nova Scotia,Total non-profit institutions,25 to 34 years,Average annual wages and salaries,Dollars,units,37127.0
2013,2016A000212,Nova Scotia,Total non-profit institutions,35 to 44 years,Average annual wages and salaries,Dollars,units,48256.0
2013,2016A000212,Nova Scotia,Total non-profit institutions,45 to 54 years,Average annual wages and salaries,Dollars,units,53006.0
2013,2016A000212,Nova Scotia,Total non-profit institutions,55 to 64 years,Average annual wages and salaries,Dollars,units,47907.0
2013,2016A000212,Nova Scotia,Total non-profit institutions,65 years old and over,Average annual wages and salaries,Dollars,units,29549.0
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,15 to 24 years,Average annual wages and salaries,Dollars,units,10196.0
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,25 to 34 years,Average annual wages and salaries,Dollars,units,28081.0
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,35 to 44 years,Average annual wages and salaries,Dollars,units,37647.0
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,45 to 54 years,Average annual wages and salaries,Dollars,units,39738.0
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,55 to 64 years,Average annual wages and salaries,Dollars,units,36098.0
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,65 years old and over,Average annual wages and salaries,Dollars,units,20132.0
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),15 to 24 years,Average annual wages and salaries,Dollars,units,9944.0
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),25 to 34 years,Average annual wages and salaries,Dollars,units,27239.0
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),35 to 44 years,Average annual wages and salaries,Dollars,units,36021.0
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),45 to 54 years,Average annual wages and salaries,Dollars,units,37873.0
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),55 to 64 years,Average annual wages and salaries,Dollars,units,34578.0
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),65 years old and over,Average annual wages and salaries,Dollars,units,19231.0
2013,2016A000212,Nova Scotia,Business non-profit institutions,15 to 24 years,Average annual wages and salaries,Dollars,units,10997.0
2013,2016A000212,Nova Scotia,Business non-profit institutions,25 to 34 years,Average annual wages and salaries,Dollars,units,31784.0
2013,2016A000212,Nova Scotia,Business non-profit institutions,35 to 44 years,Average annual wages and salaries,Dollars,units,44997.0
2013,2016A000212,Nova Scotia,Business non-profit institutions,45 to 54 years,Average annual wages and salaries,Dollars,units,47806.0
2013,2016A000212,Nova Scotia,Business non-profit institutions,55 to 64 years,Average annual wages and salaries,Dollars,units,42672.0
2013,2016A000212,Nova Scotia,Business non-profit institutions,65 years old and over,Average annual wages and salaries,Dollars,units,24733.0
2013,2016A000212,Nova Scotia,Government non-profit institutions,15 to 24 years,Average annual wages and salaries,Dollars,units,16630.0
2013,2016A000212,Nova Scotia,Government non-profit institutions,25 to 34 years,Average annual wages and salaries,Dollars,units,40612.0
2013,2016A000212,Nova Scotia,Government non-profit institutions,35 to 44 years,Average annual wages and salaries,Dollars,units,52016.0
