REF_DATE,DGUID,GEO,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE
2013,2016A000224,Quebec,Non-profit institutions serving households (community organizations),Male employees,Average annual wages and salaries,Dollars,units,35406.0
2013,2016A000224,Quebec,Non-profit institutions serving households (community organizations),Female employees,Average annual wages and salaries,Dollars,units,29999.0
2013,2016A000224,Quebec,Business non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,41773.0
2013,2016A000224,Quebec,Business non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,32576.0
2013,2016A000224,Quebec,Government non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,48651.0
2013,2016A000224,Quebec,Government non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,42922.0
2013,2016A000235,Ontario,Total non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,52640.0
2013,2016A000235,Ontario,Total non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,44500.0
2013,2016A000235,Ontario,Total non-profit institutions excluding governments,Male employees,Average annual wages and salaries,Dollars,units,45927.0
2013,2016A000235,Ontario,Total non-profit institutions excluding governments,Female employees,Average annual wages and salaries,Dollars,units,35099.0
2013,2016A000235,Ontario,Non-profit institutions serving households (community organizations),Male employees,Average annual wages and salaries,Dollars,units,43495.0
2013,2016A000235,Ontario,Non-profit institutions serving households (community organizations),Female employees,Average annual wages and salaries,Dollars,units,34009.0
2013,2016A000235,Ontario,Business non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,50947.0
2013,2016A000235,Ontario,Business non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,39201.0
2013,2016A000235,Ontario,Government non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,57811.0
2013,2016A000235,Ontario,Government non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,49807.0
2013,2016A000246,Manitoba,Total non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,44338.0
2013,2016A000246,Manitoba,Total non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,37240.0
2013,2016A000246,Manitoba,Total non-profit institutions excluding governments,Male employees,Average annual wages and salaries,Dollars,units,37824.0
2013,2016A000246,Manitoba,Total non-profit institutions excluding governments,Female employees,Average annual wages and salaries,Dollars,units,28165.0
2013,2016A000246,Manitoba,Non-profit institutions serving households (community organizations),Male employees,Average annual wages and salaries,Dollars,units,35184.0
2013,2016A000246,Manitoba,Non-profit institutions serving households (community organizations),Female employees,Average annual wages and salaries,Dollars,units,27463.0
