REF_DATE,DGUID,GEO,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,15 to 24 years,Number of jobs,Jobs,units,300.0
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,25 to 34 years,Number of jobs,Jobs,units,295.0
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,35 to 44 years,Number of jobs,Jobs,units,321.0
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,45 to 54 years,Number of jobs,Jobs,units,376.0
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,55 to 64 years,Number of jobs,Jobs,units,324.0
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,65 years old and over,Number of jobs,Jobs,units,96.0
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,15 to 24 years,Number of jobs,Jobs,units,2373.0
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,25 to 34 years,Number of jobs,Jobs,units,5783.0
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,35 to 44 years,Number of jobs,Jobs,units,7190.0
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,45 to 54 years,Number of jobs,Jobs,units,8796.0
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,55 to 64 years,Number of jobs,Jobs,units,6413.0
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,65 years old and over,Number of jobs,Jobs,units,1359.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions,15 to 24 years,Number of jobs,Jobs,units,1367.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions,25 to 34 years,Number of jobs,Jobs,units,2045.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions,35 to 44 years,Number of jobs,Jobs,units,2199.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions,45 to 54 years,Number of jobs,Jobs,units,2777.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions,55 to 64 years,Number of jobs,Jobs,units,2404.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions,65 years old and over,Number of jobs,Jobs,units,721.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,15 to 24 years,Number of jobs,Jobs,units,508.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,25 to 34 years,Number of jobs,Jobs,units,471.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,35 to 44 years,Number of jobs,Jobs,units,478.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,45 to 54 years,Number of jobs,Jobs,units,619.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,55 to 64 years,Number of jobs,Jobs,units,600.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,65 years old and over,Number of jobs,Jobs,units,273.0
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),15 to 24 years,Number of jobs,Jobs,units,348.0
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),25 to 34 years,Number of jobs,Jobs,units,363.0
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),35 to 44 years,Number of jobs,Jobs,units,369.0
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),45 to 54 years,Number of jobs,Jobs,units,482.0
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),55 to 64 years,Number of jobs,Jobs,units,462.0
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),65 years old and over,Number of jobs,Jobs,units,220.0
2013,2016A000211,Prince Edward Island,Business non-profit institutions,15 to 24 years,Number of jobs,Jobs,units,159.0
2013,2016A000211,Prince Edward Island,Business non-profit institutions,25 to 34 years,Number of jobs,Jobs,units,108.0
2013,2016A000211,Prince Edward Island,Business non-profit institutions,35 to 44 years,Number of jobs,Jobs,units,109.0
2013,2016A000211,Prince Edward Island,Business non-profit institutions,45 to 54 years,Number of jobs,Jobs,units,137.0
2013,2016A000211,Prince Edward Island,Business non-profit institutions,55 to 64 years,Number of jobs,Jobs,units,137.0
2013,2016A000211,Prince Edward Island,Business non-profit institutions,65 years old and over,Number of jobs,Jobs,units,53.0
2013,2016A000211,Prince Edward Island,Government non-profit institutions,15 to 24 years,Number of jobs,Jobs,units,860.0
2013,2016A000211,Prince Edward Island,Government non-profit institutions,25 to 34 years,Number of jobs,Jobs,units,1574.0
2013,2016A000211,Prince Edward Island,Government non-profit institutions,35 to 44 years,Number of jobs,Jobs,units,1721.0
2013,2016A000211,Prince Edward Island,Government non-profit institutions,45 to 54 years,Number of jobs,Jobs,units,2158.0
2013,2016A000211,Prince Edward Island,Government non-profit institutions,55 to 64 years,Number of jobs,Jobs,units,1804.0
2013,2016A000211,Prince Edward Island,Government non-profit institutions,65 years old and over,Number of jobs,Jobs,units,448.0
2013,2016A000212,Nova Scotia,Total non-profit institutions,15 to 24 years,Number of jobs,Jobs,units,7952.0
2013,2016A000212,Nova Scotia,Total non-profit institutions,25 to 34 years,Number of jobs,Jobs,units,13202.0
2013,2016A000212,Nova Scotia,Total non-profit institutions,35 to 44 years,Number of jobs,Jobs,units,14036.0
2013,2016A000212,Nova Scotia,Total non-profit institutions,45 to 54 years,Number of jobs,Jobs,units,17893.0
2013,2016A000212,Nova Scotia,Total non-profit institutions,55 to 64 years,Number of jobs,Jobs,units,14072.0
2013,2016A000212,Nova Scotia,Total non-profit institutions,65 years old and over,Number of jobs,Jobs,units,4417.0
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,15 to 24 years,Number of jobs,Jobs,units,2691.0
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,25 to 34 years,Number of jobs,Jobs,units,3671.0
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,35 to 44 years,Number of jobs,Jobs,units,3676.0
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,45 to 54 years,Number of jobs,Jobs,units,4282.0
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,55 to 64 years,Number of jobs,Jobs,units,3722.0
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,65 years old and over,Number of jobs,Jobs,units,1415.0
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),15 to 24 years,Number of jobs,Jobs,units,2046.0
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),25 to 34 years,Number of jobs,Jobs,units,2984.0
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),35 to 44 years,Number of jobs,Jobs,units,3010.0
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),45 to 54 years,Number of jobs,Jobs,units,3478.0
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),55 to 64 years,Number of jobs,Jobs,units,3028.0
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),65 years old and over,Number of jobs,Jobs,units,1183.0
2013,2016A000212,Nova Scotia,Business non-profit institutions,15 to 24 years,Number of jobs,Jobs,units,645.0
2013,2016A000212,Nova Scotia,Business non-profit institutions,25 to 34 years,Number of jobs,Jobs,units,686.0
